GPSub_ID,GPSub,(R)Esub,TDist_0,TDist_1,Tdist_2or3,Tdist_>3,PPB_Score,Verified
GPSub_9,*NCCN4CCCC4,*CCCCNC(C)C,143,27,13,27,-0.139 ,NO
GPSub_9,*NCCN4CCCC4,*C(=O)N1CCCC1C(=O)O,19,0,0,0,-0.239 ,NO
GPSub_9,*NCCN4CCCC4,CC(NC(C*)C(=O)O)C(=O)N1CCCC1C(=O)O,18,0,0,0,-0.236 ,NO
GPSub_9,*NCCN4CCCC4,*CC(=O)O,39,36,9,7,-0.288 ,YES
GPSub_9,*NCCN4CCCC4,CCCC(N*)C(=O)O,45,0,2,0,-0.212 ,NO
GPSub_9,*NCCN4CCCC4,*C(=O)C4CCCN4C(=O)*,52,0,0,14,-0.195 ,NO
GPSub_9,*NCCN4CCCC4,*CCCCC(=O)*,93,25,19,61,-0.136 ,NO
GPSub_9,*NCCN4CCCC4,CC(NC(CC*)C(=O)O)C(=O)*,18,0,0,0,-0.236 ,NO
GPSub_9,*NCCN4CCCC4,CC(NC(CC*)C(=O)O)*,19,0,0,0,-0.239 ,NO
GPSub_9,*NCCN4CCCC4,*NC(*)C(=O)O,62,0,2,2,-0.204 ,NO
GPSub_9,*NCCN4CCCC4,CC(=O)NC(C*)C(=O)*,132,37,14,95,-0.262 ,NO
GPSub_9,*NCCN4CCCC4,CCCC(NC(=O)*)C(=O)*,92,35,6,31,-0.172 ,NO
GPSub_9,*NCCN4CCCC4,*NC(C)C(=O)N1CCCC1C(=O)*,51,0,0,14,-0.183 ,NO
GPSub_9,*NCCN4CCCC4,CCC(NC(*)C(=O)O)*,26,0,0,0,-0.209 ,NO
GPSub_9,*NCCN4CCCC4,CCCC(N*)C(=*)O,45,0,2,6,-0.191 ,NO
GPSub_9,*NCCN4CCCC4,CC(NC(CC*)*)C(=O)*,51,0,0,0,-0.172 ,NO
GPSub_9,*NCCN4CCCC4,CC(NC(CC*)C(=O)*)*,38,0,0,0,-0.192 ,NO
GPSub_9,*NCCN4CCCC4,*NC(*)C(=*)O,62,0,2,4,-0.185 ,NO
GPSub_9,*NCCN4CCCC4,CCCC(NC(=*)*)C(=O)*,93,45,6,31,-0.137 ,NO
GPSub_9,*NCCN4CCCC4,*NC(*)C(=O)NCC(=O)*,140,24,17,76,-0.225 ,NO
GPSub_9,*NCCN4CCCC4,*CCCCC(N*)C(=O)*,34,2,1,5,-0.150 ,NO
